,compared_with,cat,sex,estimate,std_error,t_value,Pr,lower_Cl,upper_Cl,group,intercept
(Intercept wild F),int,int,,4.816804727,0.1196597,40.25418977,3.84E-119,4.582276,5.0513335,a,wild F
wild F - wild M,wild M ,wild,M,-0.499588936,0.1445028,-3.457295169,6.29E-04,-0.7828093,-0.2163686,a,wild F
wild F - farm F,farm F,farm,F,-1.292454686,0.1445028,-8.944147923,5.01E-17,-1.575675,-1.0092343,a,wild F
wild F - feral F,feral F,feral,F,-0.393212782,0.1266856,-3.103846867,2.10E-03,-0.641512,-0.1449135,a,wild F
(Intercept wild M),int,int,,4.317215792,0.08101001,53.29237613,1.38E-149,4.1584391,4.4759925,b,wild M
wild M - wild F,wild F,wild,F,0.499588936,0.14450283,3.457295169,6.29E-04,0.2163686,0.7828093,b,wild M
wild M - farm M,farm M,farm,M,-1.045922068,0.10951601,-9.550403434,6.45E-19,-1.2605695,-0.8312746,b,wild M
wild M - feral M,feral M,feral,M,-0.392063846,0.08941178,-4.384923964,1.64E-05,-0.5673077,-0.21682,b,wild M
(Intercept farm M),int,int,,3.2712937,0.07369623,44.388886,1.61E-129,3.12685176,3.4157357,c,farm M
farm M - farm F,farm F,farm,F,0.2530563,0.10951601,2.310679,2.16E-02,0.038408884,0.4677038,c,farm M
farm M - feral M,feral M,feral,M,0.6538582,0.0828431,7.89273,6.53E-14,0.491488725,0.8162277,c,farm M
farm M - wild M,wild M ,wild,M,1.0459221,0.10951601,9.550403,6.45E-19,0.831274634,1.2605695,c,farm M
(Intercept farm F),int,int,,3.52435,0.08101001,43.505119,2.31E-127,3.3655733,3.683126739,d,farm F
farm F - farm M,farm M,farm,M,-0.2530563,0.10951601,-2.310679,2.16E-02,-0.4677038,-0.038408884,d,farm F
farm F - feral F,feral F,feral,F,0.8992419,0.09106823,9.874376,5.94E-20,0.7207515,1.077732355,d,farm F
farm F - wild F,wild F,wild,F,1.2924547,0.14450283,8.944148,5.01E-17,1.0092343,1.575675028,d,farm F
(Intercept feral M),int,int,,3.925151945,0.03783972,103.7309899,3.25E-227,3.8509875,3.99931644,e,feral M 
feral M - feral F,feral F,feral,F,0.49844,0.05623741,8.863139883,8.87E-17,0.3882167,0.608663291,e,feral M 
feral M - farm M,farm M,farm,M,-0.653858221,0.0828431,-7.892729824,6.53E-14,-0.8162277,-0.491488725,e,feral M 
feral M - wild M,wild M ,wild,M,0.392063846,0.08941178,4.384923964,1.64E-05,0.21682,0.56730771,e,feral M 
(Intercept feral F),int,int,,4.423591945,0.0416029,106.3289344,3.52E-230,4.342051761,4.5051321,f,feral F
feral F - feral M,feral M,feral,M,-0.49844,0.05623741,-8.863139883,8.87E-17,-0.608663291,-0.3882167,f,feral F
feral F - farm F,farm F,farm,F,-0.899241903,0.09106823,-9.874375527,5.94E-20,-1.077732355,-0.7207515,f,feral F
feral F - wild F,wild F,wild,F,0.393212782,0.12668563,3.103846867,2.10E-03,0.144913519,0.641512,f,feral F
